"player_name","position","team","headshot_href","streak_total5","streak_total10","status","reason"
"Ja'Kobe Walter","G","TOR","https://a.espncdn.com/i/headshots/nba/players/full/4684272.png",94.1880384536847,94.4781762241837,"On Fire (last 5)","Last 5 avg (94.2) is 12.8 above season avg (58.9). Boosted by DEF, IMPACT"
"Shaedon Sharpe","G","POR","https://a.espncdn.com/i/headshots/nba/players/full/4914336.png",92.7647023420598,91.9331757806845,"On Fire (last 5)","Last 5 avg (92.8) is 13.3 above season avg (63.1). Boosted by SCORING, IMPACT"
"Keaton Wallace","G","ATL","https://a.espncdn.com/i/headshots/nba/players/full/4279118.png",91.7813953922364,91.7640200026515,"— Steady","Recent form (91.8) is close to season avg (61)"
"Matas Buzelis","F","CHI","https://a.espncdn.com/i/headshots/nba/players/full/4711294.png",91.6513467217521,93.9197762684122,"On Fire (last 5)","Last 5 avg (91.7) is 13 above season avg (61.9). Boosted by SCORING, DISC"
"Jonathan Mogbo","F","TOR","https://a.espncdn.com/i/headshots/nba/players/full/5107897.png",91.1419741311693,91.3328301383751,"On Fire (last 5)","Last 5 avg (91.1) is 11.5 above season avg (62.8). Boosted by PLAY, REB"
"Jaylon Tyson",NA,NA,NA,91.0271852024747,85.9210019290345,"On Fire (last 5)","Last 5 avg (91) is 12.2 above season avg (59.1). Boosted by PLAY, IMPACT"
"Patrick Williams","F","CHI","https://a.espncdn.com/i/headshots/nba/players/full/4431687.png",90.0224913189595,75.2016725004029,"On Fire (last 5)","Last 5 avg (90) is 9.6 above season avg (60.4). Boosted by IMPACT, PLAY"
"Kris Murray","F","POR","https://a.espncdn.com/i/headshots/nba/players/full/4594326.png",89.8660155915059,45.3243088637131,"On Fire (last 5)","Last 5 avg (89.9) is 10.6 above season avg (59.3). Boosted by IMPACT, REB"
"Jalen Wilson","F","BKN","https://a.espncdn.com/i/headshots/nba/players/full/4431714.png",89.4964595708994,86.2933570394608,"On Fire (last 5)","Last 5 avg (89.5) is 10.7 above season avg (57.4). Boosted by PLAY, SCORING"
"Deni Avdija","F","POR","https://a.espncdn.com/i/headshots/nba/players/full/4683021.png",89.2174453981513,93.0226588844348,"On Fire (last 10)","Last 10 avg (93) is 9.4 above season avg (67.8). Boosted by REB, DISC"
